path,has_src,has_dist,last_src_mod,last_dist_mod,dist_size,src_size,age_delta_days
services/accountingService.js,1,1,2026-01-19,2026-03-31,9344,8717,71.4
services/AuditService.js,1,1,2026-03-13,2026-03-31,3638,2489,18.3
services/paymentReminders.js,1,1,2026-01-19,2026-03-31,16232,13304,71.4
services/taskReminderService.js,0,1,,2026-03-31,10290,,
services/TPMSService.js,0,1,,2026-03-31,4217,,
services/resellerSyncService.js,1,1,2026-01-19,2026-03-31,9709,8125,71.4
services/ReverseGeocodingService.js,0,1,,2026-04-07,3282,,
services/EcoDrivingService.js,0,1,,2026-03-31,9196,,
services/ChartService.js,0,1,,2026-03-31,4398,,
services/faqSuggestions.js,1,1,2026-01-19,2026-03-31,10468,9392,71.4
services/recoveryService.js,1,1,2026-01-19,2026-03-31,19347,16450,71.4
services/ruleEvaluationService.js,1,1,2026-01-19,2026-04-16,30377,17358,87.4
services/creditNotePdfService.js,1,1,2026-01-19,2026-03-31,5391,4266,71.4
services/VideoEventService.js,0,1,,2026-03-31,3783,,
services/numberingService.js,1,1,2026-01-19,2026-03-31,9594,8456,71.4
services/emailService.js,1,1,2026-01-19,2026-03-31,36520,25454,71.4
services/notificationDispatcher.js,1,1,2026-01-19,2026-03-31,23338,17729,71.4
services/registrationWorkflows.js,0,1,,2026-04-19,6713,,
services/orangeSmsService.js,0,1,,2026-03-31,5320,,
services/servicesHooks.js,0,1,,2026-04-18,9366,,
services/metricsService.js,1,1,2026-01-19,2026-03-31,7971,6260,71.4
services/automationEngine.js,1,1,2026-01-19,2026-03-31,14955,13510,71.4
services/fuelService.js,1,1,2026-01-19,2026-03-31,2892,3358,71.4
services/subscriptionSyncService.js,0,1,,2026-03-31,6558,,
services/scheduler.js,1,1,2026-01-19,2026-04-17,29618,6133,88.4
middleware/validateRequest.js,1,1,2026-01-19,2026-03-31,2626,2207,71.4
middleware/uploadMiddleware.js,0,1,,2026-04-19,8379,,
middleware/auditMiddleware.js,1,1,2026-01-19,2026-03-31,6457,5195,71.4
middleware/authMiddleware.js,1,1,2026-01-19,2026-04-10,24331,10770,81.4
middleware/rateLimiter.js,1,1,2026-01-19,2026-04-19,6148,970,90.6
middleware/httpMetrics.js,0,1,,2026-03-31,3597,,
middleware/tenantContext.js,0,1,,2026-03-31,3980,,
types/common.js,0,1,,2026-03-31,430,,
routes/budgetRoutes.js,1,1,2026-01-19,2026-03-31,9785,3897,71.4
routes/faqRoutes.js,1,1,2026-01-19,2026-03-31,2379,2097,71.4
